word_ru,definition_ru,word_uz,definition_uz
ДУХОВНОЕ ЛИЦО,"Человек, занимающийся духовной деятельностью или представляющий религиозные институты.",MA'NAVIY,""
КАРШИ,"КАРШИ — система аренды автомобилей, доступная по подписке или на короткий срок.",QARSHI,""
СЛУЖИТЕЛЬ КУЛЬТА,"Человек, исполняющий религиозные обряды и служения в соответствии с конкретной верой.",MADANIYAT,""
СОБСТВЕННОСТЬ ГОРОДА,"Собственность города — это имущество, принадлежащее муниципалитету и управляемое для общественных нужд.",SHAHAR,""
ЭФФЕКТИВНОСТЬ,Способность достигать желаемых результатов с минимальными затратами ресурсов.,SAMARALIK,""
ЮГОСЛАВКА,"Югославка — женская национальная или традиционная одежда, характерная для народов бывшей Югославии.",YUGOSLAVKA,Yugoslavka - Yugoslaviyaning har qanday fuqarosi yoki madaniyati bilan bog'liq bo'lgan narsa.
ЮГОСЛАВ,"Югослав — гражданин или житель Югославии, исторического государства на Балканах.",YUGOSLAV,Yugoslav - Yugoslaviya Respublikasiga yoki uning aholisi yoki madaniyatiga oid.
НОВГОРОД,"Древний русский город, административный центр Новгородской области.",NOVGOROD,Novgorod - Rossiyaning shimoliy qismidagi tarixiy shahar.
ВЕЛИКИЙ НОВГОРОД,"Исторический город в России, важный центр культуры и торговли.",Velikiy,""
БИОГРАФ,"Автор биографии, писатель, изучающий и описывающий жизнь человека.",BIOGRAFFI,"Shaxsning hayoti, faoliyati va tajribalarini tavsiflovchi yozma asar."
СЕВЕРНЫЙ ФЛОТ,"Военно-морской флот России, базирующийся на Северном море.",Shimoliy,""
ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"Инструмент, использующий электронику для создания музыкальных звуков.",ELEKTR,""
ВРАТА,"Врата — больших размеров двери или проход, обычно используемые для входа в здание или ограду.",DARVOZA,"Darvoza - binoning yoki mudofaa devorining kirish qismi, yo'llar va bog'lar uchun eshik."
ВОРОТА,"Движная конструкция, служащая для закрытия проема в стене или ограждении.",GATES,""
ТЮРЬМА ДЛЯ ОСОБО ОПАСНЫХ ПРЕСТУПНИКОВ,"Заведение, предназначенное для содержания лиц, совершивших особо тяжкие преступления, с повышенной безопасностью.",Alohida,""
ИСПРАВИТЕЛЬНАЯ ТЮРЬМА,Учреждение для лишения свободы с целью исправления осуждённых.,ASOSIY,Asosiy - muhim yoki markaziy ahamiyatga ega bo'lgan narsalar.
ПОГРЯЗАНИЕ,Загрязнение окружающей среды или объекта.,Iste'mol,Iste'mol - biror narsani foydalanish yoki sarflash jarayoni.
СЕРГИЕВО-ПОСАДСКИЙ  Р-Н,"Административный район в Московской области, включающий город Сергиев Посад и окружающие населённые пункты.",SERGIEVO-POSAD,""
